"","bus8.sample","cluster.key"
"1","22000-bus",8
"2","27471-bus",8
"3","1147-bus",8
"4","25765-bus",8
"5","22308-bus",8
"6","22021-bus",8
"7","22771-bus",8
"8","29155-bus",8
"9","23093-bus",8
"10","23797-bus",8
"11","29773-bus",8
"12","25236-bus",8
"13","29456-bus",8
"14","24488-bus",8
"15","27685-bus",8
"16","24113-bus",8
"17","23384-bus",8
"18","1508-bus",8
"19","875-bus",8
"20","22380-bus",8
"21","27570-bus",8
"22","2214-bus",8
"23","23147-bus",8
"24","22142-bus",8
"25","22872-bus",8
"26","29086-bus",8
"27","2049-bus",8
"28","24311-bus",8
"29","23256-bus",8
"30","23559-bus",8
"31","21998-bus",8
"32","28548-bus",8
"33","28503-bus",8
"34","27370-bus",8
"35","1106-bus",8
"36","2420-bus",8
"37","25219-bus",8
"38","26691-bus",8
"39","22103-bus",8
"40","1038-bus",8
"41","24324-bus",8
"42","959-bus",8
"43","24064-bus",8
"44","2477-bus",8
"45","28438-bus",8
"46","1569-bus",8
"47","24141-bus",8
"48","22248-bus",8
"49","25973-bus",8
"50","22848-bus",8
"51","24985-bus",8
"52","1399-bus",8
"53","25814-bus",8
