"","train2.sample","cluster.key"
"1","602-train",2
"2","9-train",2
"3","571-train",2
"4","613-train",2
"5","622-train",2
"6","455-train",2
"7","491-train",2
"8","624-train",2
"9","574-train",2
"10","604-train",2
"11","525-train",2
"12","616-train",2
"13","7-train",2
"14","603-train",2
"15","630-train",2
"16","464-train",2
"17","6-train",2
"18","502-train",2
"19","565-train",2
"20","462-train",2
"21","623-train",2
"22","488-train",2
"23","496-train",2
"24","522-train",2
"25","568-train",2
"26","458-train",2
"27","472-train",2
"28","651-train",2
"29","513-train",2
"30","619-train",2
"31","467-train",2
"32","596-train",2
"33","516-train",2
"34","644-train",2
"35","629-train",2
"36","1-train",2
"37","641-train",2
"38","499-train",2
"39","456-train",2
"40","579-train",2
"41","607-train",2
"42","459-train",2
"43","638-train",2
"44","5-train",2
"45","494-train",2
"46","452-train",2
"47","500-train",2
"48","626-train",2
"49","485-train",2
"50","505-train",2
"51","599-train",2
"52","10-train",2
"53","519-train",2
"54","528-train",2
"55","8-train",2
"56","610-train",2
"57","461-train",2
"58","453-train",2
"59","657-train",2
