"","tram2.sample","Cluster.membership"
"1","1828-tram",2
"2","2097-tram",2
"3","1861-tram",2
"4","2226-tram",2
"5","1784-tram",2
"6","1850-tram",2
"7","1856-tram",2
"8","1677-tram",2
"9","1657-tram",2
"10","2067-tram",2
"11","1646-tram",2
"12","1647-tram",2
"13","1725-tram",2
"14","1950-tram",2
"15","2010-tram",2
"16","1681-tram",2
"17","1630-tram",2
"18","2020-tram",2
"19","2027-tram",2
"20","2091-tram",2
"21","2166-tram",2
"22","1859-tram",2
"23","1722-tram",2
"24","2090-tram",2
"25","1671-tram",2
"26","1801-tram",2
"27","1658-tram",2
"28","1823-tram",2
"29","1825-tram",2
"30","1703-tram",2
"31","1617-tram",2
"32","1989-tram",2
"33","1862-tram",2
"34","2218-tram",2
"35","1685-tram",2
"36","2175-tram",2
"37","2088-tram",2
"38","1841-tram",2
"39","1698-tram",2
"40","2011-tram",2
"41","1798-tram",2
"42","2016-tram",2
"43","1628-tram",2
"44","1951-tram",2
"45","1636-tram",2
"46","1733-tram",2
"47","2072-tram",2
"48","1846-tram",2
"49","1743-tram",2
"50","1816-tram",2
"51","2118-tram",2
"52","2170-tram",2
"53","1709-tram",2
"54","1877-tram",2
"55","1805-tram",2
"56","1729-tram",2
"57","1863-tram",2
"58","1794-tram",2
"59","1720-tram",2
"60","1955-tram",2
"61","1883-tram",2
"62","1752-tram",2
"63","1765-tram",2
"64","1831-tram",2
"65","1872-tram",2
"66","2145-tram",2
"67","1866-tram",2
"68","1718-tram",2
"69","2210-tram",2
"70","1894-tram",2
"71","1979-tram",2
"72","1781-tram",2
"73","1789-tram",2
"74","2176-tram",2
"75","1724-tram",2
"76","1960-tram",2
"77","1700-tram",2
"78","1708-tram",2
"79","1687-tram",2
"80","1817-tram",2
"81","1923-tram",2
"82","2102-tram",2
"83","1689-tram",2
"84","2065-tram",2
